Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,Division,,,,,,,
,,,,,,,,,,,Definition,,,,,,,
1,timetable,ES 102,Water Quality Management,I - Sanjeev Chaudhari,  ,4,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
2,timetable,ES 200,Environmental Studies: Science and Engineering,A - Manoranjan Sahu,  ,2, S1,, 0,, View,,,,,,,
,,,,A - Venkata Sai Vamsi Botlaguduru,FirstHalf,,,,,,,,,,,,,
,,,,I - Amritanshu Shriwastav,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,timetable,ES 200,Environmental Studies: Science and Engineering,A - Munish Kumar Chandel,  ,3, S2,, 0,, View,,,,,,,
,,,,A - Swatantra Pratap Singh,SecondHalf,,,,,,,,,,,,,
,,,,I - Virendra Sethi,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4,timetable,ES 204,Environmental Chemistry,I - Tabish Nawaz,  ,5, M,, 20,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
5,timetable,ES 206,Water Resources & Open Channel Flow,A - Subhankar Karmakar,  ,9,,, 0,,,,,,,,,
,,,,I - Anurag Garg,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
6,timetable,ES 210,Introduction to Solid Mechanics,I - Venkata Sai Vamsi Botlaguduru,  ,1,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
7,timetable,ES 212,Environmental Geodesy,I - Abhishek Chakraborty,  ,4,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
8,timetable,ES 216,GIS Aided Environmental Planning and Management,A - Surya Durbha,  ,14,,, 0,,,,,,,,,
,,,,I - Subhankar Karmakar,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
9,timetable,ES 216,GIS Aided Environmental Planning and Management,A - Surya Durbha,  ,5,,, 0,,,,,,,,,
,,,,I - Subhankar Karmakar,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
10,timetable,ES 252,Environmental Chemistry Lab,I - Harish C. Phuleria,  ,L2,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Tue-L2-14:00:00-16:55:00,,,,,,,,,,,,
11,timetable,ES 306,Environment Systems Modeling,A - Amritanshu Shriwastav,  ,5, M,, 5,,,,,,,,,
,,,,I - Venkata Sai Vamsi Botlaguduru,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
12,timetable,ES 451,Field Studies,A - Amritanshu Shriwastav,  ,9,,, 0,,,,,,,,,
,,,,I - Swatantra Pratap Singh,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
13,timetable,ES 600,Environmental Science and Engineering,A - Abhishek Chakraborty,  ,6,,, 0,,,,,,,,,
,,,,I - Swatantra Pratap Singh,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
14,timetable,ES 616,Energy Conversion and Environment,I - Munish Kumar Chandel,  ,8,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
15,timetable,ES 624,Hazardous Waste Management,A - Munish Kumar Chandel,  ,6,,, 0,,,,,,,,,
,,,,I - Anurag Garg,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
16,timetable,ES 644,Industrial Pollution Prevention and Clean Technologies,I - S.R.Asolekar,  ,5,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
17,timetable,ES 644,Industrial Pollution Prevention and Clean Technologies,I - S.R.Asolekar,  ,5, M,, 10,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
18,timetable,ES 656,Bioremediation - Principles and Applications,I - Suparna Mukherji,  ,1,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
19,timetable,ES 666,Biological Treatment Technologies,A - Suparna Mukherji,  ,11,,, 0,,,,,,,,,
,,,,I - Anurag Garg,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,
20,timetable,ES 672,Air Pollution Control Technologies,A - Tabish Nawaz,  ,1,,, 0,,,,,,,,,
,,,,I - Abhishek Chakraborty,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
21,timetable,ES 674,Aerosol Science and Engineering,I - Virendra Sethi,  ,8,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
22,timetable,ES 680,GIS for Environmental Planning and Management,I - A.K.Dikshit,  ,4,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
23,timetable,ES 680,GIS for Environmental Planning and Management,I - A.K.Dikshit,  ,9,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
24,timetable,ES 682,Numerical Methods for Environmental Systems,A - Amritanshu Shriwastav,  ,3,,, 0,,,,,,,,,
,,,,I - Tabish Nawaz,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
25,timetable,ES 684,Design of Water and Wastewater Systems,I - Sanjeev Chaudhari,  ,10,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
26,timetable,ES 792,Communication Skills -II,A - Harish C. Phuleria,  ,13,,, 0,,,,,,,,,
,,,,I - Virendra Sethi,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
27,timetable,ES 792,Communication Skills -II,A - Harish C. Phuleria,  ,13,,, 0,,,,,,,,,
,,,,I - Virendra Sethi,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,,
