,Course Code,Course Name,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue
60,EE 793,Topics in Cryptology,,,I - Sule V.R., 30,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  
61,EE 799,Advanced Antennas,,,I - J.Mukherjee, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
62,EE 800,High Speed Interconnects: Signaling and Synchronization,,,I - S.Gupta, 0,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
63,HS 101,Economics, S1, View,A - Pooja Padhi I - Haripriya Gundimeda, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
64,HS 101,Economics, S2, View,A - Surajit Bhattacharya I - Naraya K., 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
65,HS 101,Economics, S3, View,A - Tara S. Shaw I - Trivedi Pushpa, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
66,HS 200,Environmental Studies, S1, View,A - Aditi Balkrishna Chaubal A - Parthasarathy D. A - Saptarshi Prosonno Ghosh I - Rajkishore Nath, 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
67,HS 200,Environmental Studies, S2, View,A - Aditi Balkrishna Chaubal A - Parthasarathy D. A - Saptarshi Prosonno Ghosh I - Rajkishore Nath, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
68,HS 221,Intermediate Microeconomics I,,,A - Surajit Bhattacharya I - Naraya K., 0, View,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  
69,HS 223,Intermediate Macroeconomics-I,,,I - Trivedi Pushpa, 0, View,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
70,HS 225,Mathematics for Economics,,,I - Aditi Balkrishna Chaubal, 0, View,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,1, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  
71,HS 227,Statistics I,,,I - Rama Pal, 0, View,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
72,HS 301,Philosophy,,,I - R.K. Panda, 250,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
73,HS 303,Psychology, S1,,I - Pooja Purang, 126,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
74,HS 303,Psychology, S2,,I - A. Khan, 125,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
75,HS 305,Reading Literature, S1,,A - Sharmistha Saha A - Suddhaseel Sen I - Sharmila, 55,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
76,HS 305,Reading Literature, S2,,A - Sharmila A - Suddhaseel Sen I - Sharmistha Saha, 55,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
77,HS 305,Reading Literature, S3,,A - Sharmila A - Sharmistha Saha I - Suddhaseel Sen, 55,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
78,HS 306,Econometrics I,,,I - Tara S. Shaw, 0, View,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
79,HS 307,Sociology, S1,,I - Ahonaa Roy, 204,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
80,HS 307,Sociology, S2,,I - Suryakant Waghmore, 213,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  
81,HS 308,Econometrics I Lab,,,I - Tara S. Shaw, 0, View,13 Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,1, Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,timetable,  
82,HS 311,International Economics I,,,A - Saptarshi Prosonno Ghosh I - Aditi Balkrishna Chaubal, 0, View,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
83,HS 313,Development Economics I,,,I - Haripriya Gundimeda, 0, View,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
84,HS 315,Public Fice,,,I - Rama Pal, 0, View,1 Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,1,Mon-1A-08:30:00-09:25:00 Thu-1C-10:35:00-11:30:00 Tue-1B-09:30:00-10:25:00,timetable,  
85,HS 402,Game Theory and Economic Analysis,,,I - Saptarshi Prosonno Ghosh, 60,,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
86,HS 408,Shakespearean Afterlives,,,I - Shastri Sudha, 40,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  
87,HS 408,Shakespearean Afterlives, M,,I - Shastri Sudha, 40,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  
88,HS 412,Social Movement and Social Change: Contemporary Reflections,,,I - Sarmistha Pattanaik, 50,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
89,HS 414,Justice Ethics and Community,,,I - Amrita Banerjee, 50,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
90,HS 418,Human Cognitive Processes,,,I - Rashmi Gupta, 52,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
91,HS 426,Theory and Policy of Managerial Fice,,,I - Pooja Padhi, 50, View,15 Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,1, Fri-15B-19:00:00-20:25:00 Tue-15A-19:00:00-20:25:00,timetable,  
92,HS 436,Indian Culture and Tradition,,,I - Kulkarni A Malhar, 62,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
93,HS 466,Introduction to Linguistics,,,I - Sarma Vaijayanthi, 50,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
94,HS 467,Indian Philosophy,,,I - Ratikanta Panda, 50,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  
95,HS 495,BS Project Stage I,,,, 0,,,0,,Instructor information not avilable,
96,HS 501,Vedanta Philosophy in the Vedic Tradition,,,I - C.D. Sebastian, 0, View,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
97,HS 503,Philosophy in the Age of the Greeks,,,I - Arun A. Iyer, 0, View,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
98,HS 505,Western Philosophy and the Advent of Modern Science,,,I - Vikram Singh Sirola, 0, View,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
99,HS 557,Wittgenstein I: Wittgensteinâ€™s Tractatus: The Formalistic Approach,,,I - Pravesh Jung Golay, 0, View,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
100,HS 601,Development Planning & Policies : Issues & Alternatives,,,A - Anush Kapadia I - Naraya K., 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,1, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  
101,HS 603,Socio-Psychological Perspectives in Development & Change,,,I - Kushal Deb, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
102,HS 605,Research Methods in Social Sciences,,,A - Parthasarathy D. A - Sarmistha Pattanaik I - Vikram Singh Sirola, 0, View,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
103,HS 615,Computer Aided Applied Statistics,,,I - Mrinmoyi Kulkarni I - Parthasarathy D., 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
104,HS 636,Development of Mathematics in India,,,I - K. Ramasubramanian, 50,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
105,HS 637,Anthropology and Disaster,,,I - Robinson Rowena, 0, View,5,5,,timetable,  
106,HS 691,Field Visit,,,, 0,,,0,,Instructor information not avilable,
107,HS 694,Seminar,,,, 0,,,0,,Instructor information not avilable,
108,HS 699,Communication and Presentation Skills,,,, 0,,,0,,Instructor information not avilable,
109,HS 706,Classical Indian Thought in Modern Times,,,I - Rajkishore Nath, 50,,6 Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,6,Fri-6B-11:05:00-12:30:00 Wed-6A-11:05:00-12:30:00,timetable,  
110,HS 791,Communication Skills -I,,,, 0,,,0,,Instructor information not avilable,
111,HS 791,Communication Skills -I, S1,,, 0,,,0,,Instructor information not avilable,
112,HS 792,Communication Skills -II,,,A - Paulomi Chakraborty A - Ramesh Bairy A - Suryakant Waghmore I - Siby K.George, 0,,4 Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,4,Mon-4A-11:35:00-12:30:00 Thu-4C-09:30:00-10:25:00 Tue-4B-08:30:00-09:25:00,timetable,  
113,HS 800,Research Methods in Social Sciences,,,I - Ramesh Bairy, 0,,10 Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,1, Fri-10B-14:00:00-15:25:00 Tue-10A-14:00:00-15:25:00,timetable,  
114,HS 802,Advanced Economic Theory,,,I - Surajit Bhattacharya, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
115,HS 807,Phenomenology and Existentialism,,,I - Siby K.George, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
116,HS 811,Literary Theory,,,I - Paulomi Chakraborty, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
117,HS 824,Cultural Studies,,,I - Ratheesh R., 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  
118,HS 842,Philosophy of Language in Sanskrit Literature,,,I - Kulkarni A Malhar, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  
119,HS 847,Algorithms in Indian Astronomy,,,I - K. Ramasubramanian, 0,,11 Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,1, Fri-11B-15:30:00-16:55:00 Tue-11A-15:30:00-16:55:00,timetable,  
120,HS 849,Theories of Human Development,,,I - Mrinmoyi Kulkarni, 0,,12 Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,1, Mon-12A-17:30:00-18:55:00 Thu-12B-17:30:00-18:55:00,timetable,  
121,HSS801,Seminar,,,I - Ramesh Bairy, 0,,,0,,timetable,  
